site,province,NAME_EN_CA
3   ,BC      ,METRO VANCOUVER - SW
4   ,BC      ,CENTRAL FRASER VALLEY
7   ,BC      ,PRINCE GEORGE
8   ,BC      ,KAMLOOPS
9   ,BC      ,CENTRAL OKANAGAN
10  ,BC      ,VICTORIA / SAANICH
11  ,MB      ,WINNIPEG
12  ,SK      ,SASKATOON
13  ,SK      ,REGINA
14  ,AB      ,EDMONTON
15  ,AB      ,RED DEER
16  ,AB      ,CALGARY
17  ,ON      ,TORONTO
18  ,ON      ,WINDSOR
19  ,ON      ,OTTAWA
20  ,QC      ,MONTREAL
23  ,NS      ,HALIFAX
24  ,NB      ,SAINT JOHN
29  ,PE      ,CHARLOTTETOWN
31  ,NL      ,ST. JOHN'S
33  ,BC      ,EASTERN FRASER VALLEY
34  ,BC      ,METRO VANCOUVER - NE
35  ,MB      ,BRANDON
36  ,AB      ,MEDICINE HAT
37  ,AB      ,FORT SASKATCHEWAN
38  ,AB      ,FORT MCMURRAY
39  ,AB      ,FORT MCKAY
44  ,AB      ,FORT CHIPEWYAN
45  ,AB      ,GRANDE PRAIRIE
48  ,BC      ,METRO VANCOUVER - SE
49  ,BC      ,METRO VANCOUVER - NW
50  ,BC      ,NANAIMO / PARKSVILLE
51  ,BC      ,NORTH OKANAGAN
52  ,BC      ,SOUTH OKANAGAN
53  ,BC      ,QUESNEL
54  ,AB      ,LETHBRIDGE
55  ,NS      ,SYDNEY
56  ,NL      ,CORNER BROOK
57  ,PE      ,SUMMERSIDE (WELLINGTON)
58  ,ON      ,BRAMPTON
59  ,ON      ,MISSISSAUGA
60  ,ON      ,OAKVILLE
61  ,ON      ,OSHAWA
62  ,ON      ,BURLINGTON
63  ,ON      ,NEWMARKET
64  ,PE      ,ST. PETERS BAY
65  ,QC      ,QUEBEC
66  ,QC      ,GATINEAU
67  ,BC      ,WESTSHORE
68  ,BC      ,WHISTLER
69  ,BC      ,WILLIAMS LAKE
70  ,NS      ,KENTVILLE
71  ,NS      ,PICTOU
72  ,NS      ,PORT HAWKESBURY
73  ,NS      ,GREENWOOD
74  ,BC      ,DUNCAN
75  ,NB      ,MONCTON
76  ,NB      ,FREDERICTON
77  ,SK      ,PRINCE ALBERT
78  ,NL      ,GRAND FALLS - WINDSOR
79  ,SK      ,SWIFT CURRENT
80  ,ON      ,HAMILTON
81  ,AB      ,COLD LAKE
82  ,BC      ,SQUAMISH
83  ,BC      ,COMOX
84  ,BC      ,COURTENAY
86  ,BC      ,CASTLEGAR
87  ,AB      ,DRAYTON VALLEY
88  ,AB      ,SPRUCE GROVE
89  ,NB      ,BATHURST
90  ,ON      ,KINGSTON
91  ,ON      ,SAULT STE. MARIE
92  ,ON      ,PETERBOROUGH
93  ,ON      ,LONDON
94  ,NT      ,YELLOWKNIFE
95  ,NL      ,BURIN
96  ,NB      ,EDMUNDSTON
97  ,NB      ,CAMPBELLTON
98  ,NB      ,MIRAMICHI
99  ,NL      ,LABRADOR CITY
100 ,NT      ,INUVIK
101 ,ON      ,BARRIE
102 ,ON      ,ST. CATHARINES
103 ,NU      ,IQALUIT
104 ,ON      ,DORSET
113 ,BC      ,FORT ST. JOHN
114 ,BC      ,TERRACE
115 ,ON      ,TORONTO DOWNTOWN
116 ,ON      ,TORONTO EAST
117 ,ON      ,TORONTO NORTH
118 ,ON      ,TORONTO WEST
119 ,ON      ,WINDSOR DOWNTOWN
120 ,ON      ,WINDSOR WEST
121 ,ON      ,CHATHAM
122 ,ON      ,SARNIA
123 ,ON      ,PORT STANLEY
124 ,ON      ,GRAND BEND
125 ,ON      ,TIVERTON
126 ,ON      ,BRANTFORD
127 ,ON      ,KITCHENER
128 ,ON      ,GUELPH
129 ,ON      ,HAMILTON DOWNTOWN
130 ,ON      ,HAMILTON MOUNTAIN
131 ,ON      ,PARRY SOUND
132 ,ON      ,BELLEVILLE
133 ,ON      ,CORNWALL
134 ,ON      ,OTTAWA DOWNTOWN
135 ,ON      ,OTTAWA CENTRAL
136 ,ON      ,PETAWAWA
137 ,ON      ,NORTH BAY
138 ,ON      ,SUDBURY
139 ,ON      ,THUNDER BAY
140 ,ON      ,HAMILTON WEST
141 ,NU      ,KUGLUKTUK
142 ,NU      ,ARVIAT
143 ,NT      ,FORT SMITH
144 ,YU      ,WHITEHORSE
145 ,BC      ,SMITHERS
146 ,NS      ,HALIFAX DOWNTOWN
147 ,NS      ,LAKE MAJOR
149 ,BC      ,KITIMAT
150 ,AB      ,AIRDRIE
151 ,SK      ,ESTEVAN
152 ,ON      ,MILTON
